state,pop_cov,pop_tot,pop_rat,perc_rep,perc_dem,rep_dem,rate,rate_rea,rate_rel,rate_sex,rate_dis,rate_gen,rate_gei
Alaska,7.278,7.320,0.994,52.83,42.77,T,1.584,0.960,0.000,0.550,0.000,0.000,0.000
Arizona,63.959,72.800,0.879,49.06,49.36,B,3.400,2.240,0.563,0.470,0.047,0.031,0.047
Arkansas,28.136,30.200,0.932,62.40,34.78,T,0.342,0.280,0.000,0.040,0.000,0.000,0.000
California,395.026,395.000,1.000,34.32,63.48,B,2.575,1.330,0.527,0.590,0.025,0.018,0.084
Colorado,57.053,57.600,0.991,41.90,55.4,B,3.723,2.050,0.631,0.820,0.123,0.000,0.088
Connecticut,33.739,35.700,0.945,39.19,59.26,B,2.264,1.420,0.474,0.330,0.000,0.030,0.000
Delaware,9.738,9.740,1.000,39.77,58.74,B,2.300,1.030,0.411,0.720,0.000,0.000,0.103
Florida,209.018,215.000,0.972,51.22,47.86,T,0.534,0.230,0.172,0.130,0.000,0.000,0.000
Georgia,92.908,106.000,0.876,49.24,49.47,B,1.103,0.830,0.097,0.060,0.043,0.032,0.032
Hawaii,9.749,14.200,0.687,34.27,63.73,B,4.241,3.080,0.205,0.920,0.000,0.000,0.000
Idaho,17.824,17.900,0.996,63.84,33.07,T,1.382,1.010,0.056,0.220,0.056,0.000,0.000
Illinois,121.260,127.000,0.955,40.55,57.54,B,0.548,0.280,0.074,0.140,0.000,0.000,0.050
Indiana,36.439,67.300,0.541,57.02,40.96,T,2.101,1.290,0.357,0.380,0.000,0.000,0.055
Iowa,31.359,31.600,0.992,53.09,44.89,T,0.336,0.190,0.000,0.130,0.000,0.000,0.000
Kansas,26.109,29.100,0.897,56.21,41.56,T,3.009,1.460,1.034,0.270,0.115,0.038,0.077
Kentucky,44.601,44.700,0.998,62.09,36.15,T,3.422,2.560,0.269,0.430,0.022,0.045,0.090
Louisiana,35.365,46.500,0.761,58.46,39.85,T,0.752,0.250,0.226,0.200,0.057,0.000,0.000
Maine,13.442,13.400,1.000,44.02,53.09,B,1.446,0.740,0.149,0.520,0.000,0.000,0.000
Maryland,60.457,60.500,0.999,32.15,65.36,B,0.320,0.120,0.066,0.120,0.017,0.000,0.000
Massachusetts,67.730,68.900,0.983,32.14,65.6,B,6.147,3.140,1.491,1.360,0.015,0.030,0.103
Michigan,99.694,99.900,0.998,47.84,50.62,B,4.358,3.140,0.512,0.440,0.090,0.151,0.020
Minnesota,55.331,56.400,0.981,45.28,52.4,B,1.888,1.070,0.361,0.310,0.018,0.054,0.072
Mississippi,8.820,29.800,0.296,57.60,41.06,T,1.653,0.680,0.113,0.110,0.680,0.000,0.000
Missouri,60.779,61.400,0.990,56.80,41.41,T,1.375,0.860,0.214,0.260,0.017,0.000,0.017
Montana,10.555,10.700,0.986,56.92,40.55,B,3.086,1.520,0.853,0.190,0.095,0.095,0.284
Nebraska,18.132,19.300,0.939,58.22,39.17,T,2.569,2.100,0.165,0.170,0.110,0.000,0.000
Nevada,30.707,30.800,0.997,47.67,50.06,B,1.448,0.880,0.326,0.130,0.033,0.000,0.065
New Hampshire,13.136,13.600,0.966,45.36,52.71,B,1.253,0.610,0.381,0.230,0.000,0.000,0.000
New Jersey,86.381,88.800,0.973,41.40,57.33,B,6.731,2.920,2.894,0.750,0.012,0.058,0.093
New Mexico,8.191,21.000,0.390,43.50,54.29,B,6.157,3.660,0.977,0.980,0.122,0.000,0.366
New York,189.496,195.000,0.972,37.75,60.86,B,3.226,0.870,1.884,0.390,0.005,0.000,0.084
North Carolina,87.403,105.000,0.832,49.93,48.59,T,2.420,1.510,0.481,0.340,0.080,0.000,0.000
North Dakota,7.621,7.620,1.000,65.11,31.76,T,2.447,1.840,0.131,0.390,0.000,0.000,0.000
Ohio,97.309,117.000,0.832,53.27,45.24,T,4.024,2.220,0.308,0.620,0.565,0.072,0.236
Oklahoma,39.462,39.600,0.997,65.37,32.29,T,0.726,0.350,0.127,0.200,0.025,0.000,0.000
Oregon,40.561,42.200,0.961,40.37,56.45,B,4.497,2.860,0.715,0.670,0.049,0.049,0.148
Pennsylvania,125.855,128.000,0.983,48.84,50.01,B,0.330,0.220,0.072,0.030,0.000,0.000,0.000
Rhode Island,10.583,10.600,0.998,38.61,59.39,B,1.643,0.380,0.472,0.760,0.000,0.000,0.000
South Carolina,50.817,51.500,0.987,55.11,43.43,T,1.349,0.710,0.394,0.140,0.020,0.059,0.020
South Dakota,8.487,8.850,0.959,61.77,35.61,T,2.429,1.530,0.353,0.470,0.000,0.000,0.000
Tennessee,68.306,68.300,1.000,60.66,37.45,T,1.722,1.330,0.176,0.150,0.015,0.029,0.015
Texas,288.857,290.000,0.996,52.06,46.48,T,1.591,1.040,0.152,0.250,0.066,0.024,0.062
Utah,30.773,32.100,0.959,58.13,37.65,T,0.604,0.390,0.097,0.100,0.000,0.000,0.000
Vermont,6.287,6.240,1.000,30.67,66.09,B,5.298,2.860,0.636,1.430,0.159,0.000,0.159
Virginia,85.336,85.400,0.999,44.00,54.11,B,1.915,1.200,0.316,0.320,0.035,0.012,0.035
Washington,75.877,76.100,0.997,38.77,57.97,B,7.333,4.360,1.002,1.530,0.105,0.105,0.224
West Virginia,15.750,17.900,0.880,68.62,29.69,T,2.012,1.140,0.381,0.190,0.127,0.064,0.064
Wisconsin,58.107,58.200,0.998,48.82,49.45,B,1.282,0.670,0.310,0.090,0.069,0.034,0.103
Wyoming,5.127,5.790,0.886,69.94,26.55,T,1.112,0.780,0.000,0.200,0.000,0.000,0.000
District of Columbia,7.057,7.060,1.000,5.40,92.15,B,31.464,16.860,1.134,9.210,0.142,0.283,3.826
